LAT LON DEPTH Vs
6.566250000000000142e-01 -9.170722500000000821e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.161967500000000086e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.170722500000000821e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.161967500000000086e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.153212500000000773e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.144457500000000039e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.153212500000000773e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.144457500000000039e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -9.170722500000000821e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -9.161967500000000086e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -9.170722500000000821e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -9.161967500000000086e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -9.153212500000000773e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -9.144457500000000039e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -9.153212500000000773e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -9.144457500000000039e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.135702500000000725e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.126947499999999991e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.135702500000000725e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.126947499999999991e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.118192500000000678e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.109437499999999943e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.118192500000000678e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.109437499999999943e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -9.135702500000000725e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -9.126947499999999991e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -9.135702500000000725e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -9.126947499999999991e+01 2.000000000000000000e+00 nan
